Fósforo: 0 | Potássio: 0 | pH: 3.42 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 3.42 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 1 | Potássio: 0 | pH: 3.42 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 3.42 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 1 | pH: 3.42 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 3.42 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 9.17 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 9.28 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 8.22 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 6.77 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 1 | pH: 6.54 | Umidade: 37.0% | Bomba: Ligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 1 | Potássio: 0 | pH: 6.54 | Umidade: 37.0% | Bomba: Ligada
Fósforo: 1 | Potássio: 0 | pH: 6.54 | Umidade: 37.0% | Bomba: Ligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 1 | Potássio: 0 | pH: 6.54 | Umidade: 37.0% | Bomba: Ligada
Fósforo: 1 | Potássio: 0 | pH: 6.54 | Umidade: 37.0% | Bomba: Ligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 1 | pH: 6.54 | Umidade: 37.0% | Bomba: Ligada
Fósforo: 0 | Potássio: 1 | pH: 6.54 | Umidade: 37.0% | Bomba: Ligada
Fósforo: 0 | Potássio: 1 | pH: 6.54 | Umidade: 37.0% | Bomba: Ligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 37.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 54.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 1 | pH: 6.54 | Umidade: 55.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 1 | pH: 6.54 | Umidade: 55.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 55.0% | Bomba: Desligada
Fósforo: 1 | Potássio: 0 | pH: 6.54 | Umidade: 55.0% | Bomba: Desligada
Fósforo: 1 | Potássio: 0 | pH: 6.54 | Umidade: 55.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 55.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 40.0% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 1 | pH: 6.54 | Umidade: 37.5% | Bomba: Ligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 1 | Potássio: 0 | pH: 6.54 | Umidade: 37.5% | Bomba: Ligada
Fósforo: 1 | Potássio: 0 | pH: 6.54 | Umidade: 37.5% | Bomba: Ligada
Fósforo: 0 | Potássio: 0 | pH: 6.54 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 10.89 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 1 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 1 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 1 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
Fósforo: 0 | Potássio: 0 | pH: 11.26 | Umidade: 37.5% | Bomba: Desligada
