epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.836,1.42253,3.04427,1.93797,0.00293,0.875,0.43655,0.20897,1.39608,3.91832,2.3641,0.00013336,0.00013336,0.00013336
2,35.1107,1.17979,2.60034,1.71859,0.00297,0.875,0.53229,0.27305,1.31405,4.04874,2.19302,0.000280584,0.000280584,0.000280584
3,52.4942,1.1665,2.41557,1.73136,0.003,0.875,0.45981,0.30148,1.25135,3.88467,1.94724,0.000424838,0.000424838,0.000424838
4,69.8254,1.10796,2.17472,1.66171,0.00298,0.875,0.31504,0.1746,1.49496,3.75908,2.27309,0.000566122,0.000566122,0.000566122
5,87.1643,1.07285,1.90541,1.60712,0.00334,1,0.40007,0.22986,1.67498,3.6951,2.39801,0.000704434,0.000704434,0.000704434
6,103.95,1.13897,1.77948,1.59247,0.86941,0.25,0.46805,0.15587,2.17778,3.82884,3.05004,0.000839776,0.000839776,0.000839776
7,121.325,1.12744,1.82874,1.60224,0.48664,0.375,0.47802,0.21674,2.01163,3.4284,3.38705,0.000972148,0.000972148,0.000972148
8,138.901,1.10855,1.767,1.58917,0.14417,0.625,0.26715,0.13153,1.88284,4.09691,3.03388,0.00110155,0.00110155,0.00110155
9,157.039,1.2017,1.7805,1.68252,0.09457,0.375,0.08762,0.03482,1.49762,4.83891,2.46792,0.00122798,0.00122798,0.00122798
10,174.563,1.21296,1.8821,1.63913,0.11488,0.625,0.1133,0.04721,1.78619,5.99288,3.18866,0.00135144,0.00135144,0.00135144
11,192.978,1.24902,1.85838,1.73133,0.21624,0.60496,0.23215,0.10902,1.96431,9.72508,3.07688,0.00147193,0.00147193,0.00147193
12,209.91,1.16477,1.69077,1.56779,0.20725,0.625,0.28726,0.12588,2.30909,7.80691,3.16073,0.00148546,0.00148546,0.00148546
13,226.466,1.17737,1.7176,1.62959,0.50568,0.5,0.54871,0.18481,2.40402,5.46478,3.58086,0.00146896,0.00146896,0.00146896
14,245.084,1.18172,1.63949,1.62544,0.42286,0.5,0.54042,0.24018,2.1088,5.28765,3.25604,0.00145246,0.00145246,0.00145246
15,262.318,1.10396,1.77547,1.61838,0.69535,0.5,0.64546,0.24176,2.29516,4.85099,3.53927,0.00143595,0.00143595,0.00143595
16,279.13,1.22608,1.67501,1.64749,0.39009,0.5,0.48683,0.22715,2.30886,3.11884,3.60166,0.00141945,0.00141945,0.00141945
17,295.438,1.15455,1.60883,1.58668,0.60939,0.625,0.62336,0.23225,2.09084,3.28746,3.11079,0.00140295,0.00140295,0.00140295
18,311.756,1.25244,1.94524,1.66454,0.50786,0.375,0.53943,0.20608,2.26366,4.21479,3.10324,0.00138644,0.00138644,0.00138644
19,327.648,1.18353,1.7262,1.66702,0.7498,0.77087,0.82016,0.2876,2.02265,3.75473,3.21325,0.00136994,0.00136994,0.00136994
20,344.042,1.15016,1.6022,1.58295,0.73974,0.75,0.8285,0.30254,2.0459,3.83068,3.06352,0.00135344,0.00135344,0.00135344
21,359.709,1.18539,1.6551,1.58786,0.76928,0.625,0.73267,0.35401,1.94405,3.73108,2.75197,0.00133693,0.00133693,0.00133693
22,376.069,1.16784,1.61382,1.59757,0.45592,0.625,0.4411,0.18994,1.97814,3.81033,2.63334,0.00132043,0.00132043,0.00132043
